"new_rt","filename","rt"
0.0053704595,"190715_Blk_KM1906U14-Blk_C.mzML",0.0054106884
0.0266198774,"190715_Blk_KM1906U14-Blk_C.mzML",0.025843908
0.0434890072,"190715_Blk_KM1906U14-Blk_C.mzML",0.042314606
0.0599006653,"190715_Blk_KM1906U14-Blk_C.mzML",0.058643672
0.076227204,"190715_Blk_KM1906U14-Blk_C.mzML",0.074899607
0.0915581226,"190715_Blk_KM1906U14-Blk_C.mzML",0.09017474
0.1132402738,"190715_Blk_KM1906U14-Blk_C.mzML",0.11179541
0.1295396169,"190715_Blk_KM1906U14-Blk_C.mzML",0.12806196
0.1450370789,"190715_Blk_KM1906U14-Blk_C.mzML",0.14353896
0.1604219278,"190715_Blk_KM1906U14-Blk_C.mzML",0.15891386
0.1758089542,"190715_Blk_KM1906U14-Blk_C.mzML",0.17430124
0.194232289,"190715_Blk_KM1906U14-Blk_C.mzML",0.19273859
0.2095966816,"190715_Blk_KM1906U14-Blk_C.mzML",0.20812602
0.2250463327,"190715_Blk_KM1906U14-Blk_C.mzML",0.22360926
0.2404211521,"190715_Blk_KM1906U14-Blk_C.mzML",0.23902789
0.2557379564,"190715_Blk_KM1906U14-Blk_C.mzML",0.25439863
0.2735203743,"190715_Blk_KM1906U14-Blk_C.mzML",0.27225664
0.2894533157,"190715_Blk_KM1906U14-Blk_C.mzML",0.28826909
0.3047208786,"190715_Blk_KM1906U14-Blk_C.mzML",0.30362329
0.3199739456,"190715_Blk_KM1906U14-Blk_C.mzML",0.31897319
0.335223039,"190715_Blk_KM1906U14-Blk_C.mzML",0.33432937
0.3504804611,"190715_Blk_KM1906U14-Blk_C.mzML",0.34970419
0.368959554,"190715_Blk_KM1906U14-Blk_C.mzML",0.36833934
0.3841843287,"190715_Blk_KM1906U14-Blk_C.mzML",0.38370399
0.3993677775,"190715_Blk_KM1906U14-Blk_C.mzML",0.39903724
0.414547348,"190715_Blk_KM1906U14-Blk_C.mzML",0.41437673
0.4297516823,"190715_Blk_KM1906U14-Blk_C.mzML",0.42975157
0.44574248,"190715_Blk_KM1906U14-Blk_C.mzML",0.44593274
0.4608209928,"190715_Blk_KM1906U14-Blk_C.mzML",0.46120122
0.475957648,"190715_Blk_KM1906U14-Blk_C.mzML",0.47653882
0.4910634677,"190715_Blk_KM1906U14-Blk_C.mzML",0.49185532
